Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Media
1204562937,"27 Sep 2017, 17:14:58",Work to home,Ride,,2236,10.82,,,false,,,activities/1204562937.gpx,74.0,,2236.0,2200.0,10821.5,8.300000190734863,,98.89689636230469,,9.899999618530273,58.0,19.5,0.4047499895095825,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1205349791,"28 Sep 2017, 07:34:32",To work,Ride,,1976,10.24,,,false,,,activities/1205349791.gpx,74.0,,1976.0,1976.0,10239.2998046875,18.299999237060547,,53.27899932861328,,9.899999618530273,56.0,12.300000190734863,-0.36916598677635193,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1205759657,"28 Sep 2017, 13:57:58",Afternoon Swim,Swim,,2220,"1,000",,,false,,,,74.0,,2220.0,2220.0,1000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1206069250,"28 Sep 2017, 17:11:49",Evening Ride,Ride,,2229,10.80,,,true,,,activities/1206069250.gpx,74.0,,2229.0,2104.0,10800.2998046875,8.699999809265137,,99.0613021850586,,9.899999618530273,58.0,19.5,0.41202598810195923,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1207482431,"29 Sep 2017, 16:46:11",Afternoon Ride,Ride,,2957,11.03,,,true,,,activities/1207482431.gpx,74.0,,2957.0,2545.0,11038.400390625,9.800000190734863,,97.20230102539062,,9.100000381469727,58.0,19.600000381469727,0.3913609981536865,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1207483623,"29 Sep 2017, 08:00:52",Morning ,Ride,,2100,10.78,,,true,,,,74.0,,2100.0,2100.0,10782.599609375,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1217387648,"6 Oct 2017, 07:32:20",Morning Ride,Ride,,2250,10.66,,,true,,,activities/1217387648.gpx,74.0,,2250.0,2096.0,10668.0,8.800000190734863,,52.539398193359375,,9.899999618530273,58.0,15.199999809265137,-0.3758910000324249,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1217970866,"6 Oct 2017, 16:44:29",Afternoon Ride,Ride,,2440,11.14,,,true,,,activities/1217970866.gpx,74.0,,2440.0,2249.0,11140.2001953125,9.399999618530273,,99.59200286865234,,9.100000381469727,58.0,19.5,0.39586400985717773,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1218063073,"6 Oct 2017, 13:00:00",Afternoon Swim,Swim,,1800,"1,000",,,false,,,,74.0,,1800.0,1800.0,1000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1220803390,"8 Oct 2017, 12:42:54",Afternoon Run,Run,,1058,2.81,,,false,,,activities/1220803390.gpx,74.0,,1058.0,1058.0,2817.60009765625,3.9000000953674316,,32.85459899902344,,36.0,58.400001525878906,16.5,-0.042589399963617325,,,,,,,,,265.74774169921875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
